Discipline,FY,financial_Table,Category,Description,Amount
Peds,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident salaries and benefits ,150000
OBGYN,1819,col 1,"Salaries, Benefits and Wages for Faculty", Site Director salary and benefits (0.2 FTE) ,3939.54
OBGYN,1819,col 2,"Salaries, Benefits and Wages for Faculty", Site Director salary and benefits (0.2 FTE) ,3939.54
OBGYN,1819,col 3,"Salaries, Benefits and Wages for Faculty", Site Director salary and benefits (0.2 FTE) ,3939.54
OBGYN,1819,col 4,"Salaries, Benefits and Wages for Faculty", Site Director salary and benefits (0.2 FTE) ,3939.54
OBGYN,1819,col 5,"Salaries, Benefits and Wages for Faculty", Site Director salary and benefits (0.2 FTE) ,3939.54
OBGYN,1819,col 6,Meals, For residents during didactics ,1700
OBGYN,1819,col 7,"Salaries, Benefits and Wages for Faculty", Site Director salary and benefits (0.2 FTE) ,3939.54
OBGYN,1819,col 8,"Salaries, Benefits and Wages for Faculty", Fellowship Director salary and benefits (0.1 FTE) ,2041.91
OBGYN,1819,col 9,"Salaries, Benefits and Wages for Faculty", Fellowship Director salary and benefits (0.1 FTE) ,2041.91
OBGYN,1819,col 10,"Salaries, Benefits and Wages for Faculty", Fellowship Director salary and benefits (0.1 FTE) ,2041.91
OBGYN,1819,col 11,"Salaries, Benefits and Wages for Faculty"," Program Director 0.1 FTE (Collaboration with Site Director for curriculum development, scheduling, faculty development planning, resident evaluations) ",4370
OBGYN,1819,col 12,"Salaries, Benefits and Wages for Faculty"," Program Director 0.1 FTE (Collaboration with Site Director for curriculum development, scheduling, faculty development planning, resident evaluations) ",4370
OBGYN,1819,col 13,"Salaries, Benefits and Wages for Faculty"," Program Director 0.1 FTE (Collaboration with Site Director for curriculum development, scheduling, faculty development planning, resident evaluations) ",4370
OBGYN,1819,col 14,"Salaries, Benefits and Wages for Faculty"," Program Director 0.1 FTE (Collaboration with Site Director for curriculum development, scheduling, faculty development planning, resident evaluations) ",4370
OBGYN,1819,col 15,Unused Funds, Professional development for faculty and residents ,6024.52
Peds,1819,col 1,"Salaries, Benefits and Wages for Residents"," Funds were used for resident salaries, benefits and wages. ",187500
Peds,1819,col 1,"Salaries, Benefits and Wages for Faculty", Roxanne Chang (SALARY &amp; FRINGE) ,29559.75
Peds,1819,col 2,"Salaries, Benefits and Wages for Faculty", Laura Figueroa-Phillips (Salary &amp; Fringe) ,9319.12
Peds,1819,col 3,Training and Education Costs, Book fund/ Education materials ,3699.22
Peds,1819,col 4,Training and Education Costs, Training Services-NRP ,420
Peds,1819,col 5,Training and Education Costs, Conferences /Registration ,350
Peds,1819,col 6,Meals, Conference meals ,2439.25
Peds,1819,col 7,"Memberships, Subscriptions and Professional Activity Costs", APPD Annual Fees ,3800
Peds,1819,col 8,Contractual Consultant Costs," James Yeh, MD ",600
Peds,1819,col 9,Contractual Consultant Costs, Liliana Tirado ,180
Peds,1819,col 10,Unused Funds," Description, ",201148.96
OBGYN,1819,col 1,"Salaries, Benefits and Wages for Residents", Portion of a R3 salary ,37500
OBGYN,1819,col 1,"Salaries, Benefits and Wages for Residents"," Funds used for resident salaries, benefits and wages. ",187500
OBGYN,1819,col 1,Meals, meals for interviews and monthly resident meetings ,3896.11
OBGYN,1819,col 2,"Memberships, Subscriptions and Professional Activity Costs"," Program memberships to ACOG, CREOG, etc. Subscriptions to online interview platforms. ",8045
OBGYN,1819,col 3,Non-Medical Benefits, resident wellness / resident awards ,748.02
OBGYN,1819,col 4,"Salaries, Benefits and Wages for Other GME Staff", Salaries and FB for resident research coordinator and education coordinator ,4599.88
OBGYN,1819,col 5,Training and Education Costs," FLS online training, supplies for hands on FLS and Victoria trainers ",7215.5
OBGYN,1819,col 6,Unused Funds," We plan to utilize the unused funds on the following: Faculty Development seminar: consultant fees for faculty development seminar as we continue to work on culture, learning environment and reducing burnout in our faculty. Due to ongoing restrictions in response to the pandemic, we anticipate we will be able to utilize these funds by June 30, 2022. ",12995.49
OBGYN,1819,col 1,"Salaries, Benefits and Wages for Faculty"," Faculty wages and benefits for OB-GYN Residency Program Physicians: Stephanie Lin, Anne Kennard, Danielle Feldman, Brett Lebed, Jonathan Tammela, Mona Bazagan, Tad Callahan, Brian Crisp, Jade Mas, Larry Shields, Elaine Yin, and Eli Zinner ",37500
OBGYN,1819,col 1,Non-Medical Benefits, Materials for Resident Wellness Activities ,49.06
OBGYN,1819,col 2,Training and Education Costs, SAGES - FLS Testing Vouchers for 4 Residents ,2100
OBGYN,1819,col 3,Training and Education Costs, Surgical Skills Models Materials ,40.31
OBGYN,1819,col 4,"Memberships, Subscriptions and Professional Activity Costs", AAGL Membership - S Yang ,50
OBGYN,1819,col 5,Licensing Fees, ABOG Board Exam Fee - S Yang ,1600
OBGYN,1819,col 6,"Memberships, Subscriptions and Professional Activity Costs", NRMP Fee - S Yang ,85
OBGYN,1819,col 7,Licensing Fees, ABOG Board Exam Fee - C Roque ,1600
OBGYN,1819,col 8,"Memberships, Subscriptions and Professional Activity Costs", AAGL Membership - C Roque ,50
OBGYN,1819,col 9,Licensing Fees, ABOG Board Exam Fee - A Banuelos ,1600
OBGYN,1819,col 10,Non-Medical Benefits, Materials for Resident Wellness Activities ,89.07
OBGYN,1819,col 11,"Memberships, Subscriptions and Professional Activity Costs", SLS Fellowship Fees - S Yang ,350
OBGYN,1819,col 12,"Memberships, Subscriptions and Professional Activity Costs", AAGL Membership - M Huynh ,50
OBGYN,1819,col 13,"Memberships, Subscriptions and Professional Activity Costs", AAGL Membership - M Rico ,50
OBGYN,1819,col 14,Unused Funds," Description, ",99610.44
Peds,1819,col 1,Training and Education Costs, Children's Minnesota Education &amp; Training ,350
Peds,1819,col 2,"Memberships, Subscriptions and Professional Activity Costs", ScholarOne ,180
Peds,1819,col 3,Travel Conferences, American Academy of Pediatrics ,335
Peds,1819,col 4,Training and Education Costs, Yale University ,400
Peds,1819,col 5,Meals, Resident Meals ,91.4
Peds,1819,col 6,Training and Education Costs, Board Review ,22382
Peds,1819,col 7,Training and Education Costs, Pediatric Handbook ,1360
Peds,1819,col 8,Training and Education Costs, Board Review ,2646
Peds,1819,col 9,Unused Funds, Unused funds will be used in the next reporting period ,96988.3
Peds,1819,col 1,"Salaries, Benefits and Wages for Residents"," Resident Salaries, benefits for (5) PGY3 residents 7/1-12/31/21 ",216154
Peds,1819,col 2,Training and Education Costs, Med Study Peds Board Review -Study Videos ,1600
Peds,1819,col 3,Training and Education Costs, MedStudy Peds Board Prep Q&amp; A study tool ,3348
Peds,1819,col 4,"Memberships, Subscriptions and Professional Activity Costs", Fresno Madera Medical Society/CMA resident Membership ,1444
Peds,1819,col 5,Training and Education Costs, REACT Medical Training for residents ( Pediatric Advanced Life Support Provider Training) ,5420
Peds,1819,col 6,"Memberships, Subscriptions and Professional Activity Costs", American Academy of Pediatrics Resident Member Dues ,5200
Peds,1819,col 7,Unused Funds, unused funds ,121462
FM,1819,col 1,Contractual Consultant Costs, Dr. Dana Lucka consultant costs for Resident Supervision ,1110
FM,1819,col 2,Contractual Consultant Costs, Dr. Linscheid Reproductive health ,300
FM,1819,col 3,Contractual Consultant Costs, Dr. Terry Behavioral Health ,52488
FM,1819,col 4,"Memberships, Subscriptions and Professional Activity Costs", Fresnon Madera MEdical Society- resident/faculty membership ,8496
FM,1819,col 5,Training and Education Costs, Crucial Conversations Online Training residents ,2820
FM,1819,col 6,Meals, Meals covered during Didactics for Nov/Dec ,4046.66
FM,1819,col 7,Medical Equipment, medical supplies for resident use ,1122.2
FM,1819,col 8,Travel Conferences, Training for New INnovations /Workshop ,3132.32
FM,1819,col 9,"Memberships, Subscriptions and Professional Activity Costs", AAFP membership cost core faculty ,3236
FM,1819,col 10,Meals, Didactics/interviews ,202.75
FM,1819,col 11,Training and Education Costs, Greta- Step 3 ,59.36
Peds,1819,col 1,"Salaries, Benefits and Wages for Residents"," Salary, Benefits and Housing Stipend 07/1/2021-12/31/2021 ",112500
FM,1819,col 1,"Salaries, Benefits and Wages for Faculty", Faculty Time ,38610
FM,1819,col 2,"Memberships, Subscriptions and Professional Activity Costs", Memberships for the Department ,7810.43
IM,1819,col 1,"Salaries, Benefits and Wages for Faculty", Faculty salary support for precepting/supervising residents at Coachella Valley Volunteers in Medicine clinic for underserved population. ,37500
IM,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident Salary and Benefits ,37500
Peds,1819,col 1,"Salaries, Benefits and Wages for Faculty"," Angkustsiri, Kathleen, 10% effort, behavioral health training ",9396.57
Peds,1819,col 2,"Salaries, Benefits and Wages for Faculty"," Byrd, Robert, 5% effort, Continuity Clinic Quality Improvement Lead ",6531.76
Peds,1819,col 3,"Salaries, Benefits and Wages for Faculty"," Steinfeld, Mary Beth, 10% effort, behavioral health training ",10176.79
Peds,1819,col 4,"Salaries, Benefits and Wages for Faculty"," Rasmussen, Lisa, 5% effort, Continuity Clinic Quality Improvement Lead ",1984.7
Peds,1819,col 5,"Salaries, Benefits and Wages for Faculty"," Hamline, Michelle, 5% effort, Residency Quality Improvement ",6015.26
Peds,1819,col 6,"Salaries, Benefits and Wages for Faculty"," Hopkins, Melissa, 10% effort, mental health training ",15613.76
Peds,1819,col 7,"Salaries, Benefits and Wages for Faculty"," Chong Hutchinson, Jenny, Mental Health Training ",95.78
Peds,1819,col 8,"Salaries, Benefits and Wages for Faculty"," Ratanasen, Mitch, 5% effort, Continuity Clinic Quality Improvement Lead ",3327.24
Peds,1819,col 9,"Salaries, Benefits and Wages for Other GME Staff"," Reilly, Maura, 52.5% effort, community health and advocacy and scholarly project training ",21858.14
Peds,1819,col 1,"Salaries, Benefits and Wages for Faculty"," Description, ",22500
Peds,1819,col 2,"Salaries, Benefits and Wages for Other GME Staff"," Description, ",5000
Peds,1819,col 3,Non-Medical Benefits," Description, ",350
Peds,1819,col 4,Medical Equipment," Description, ",2000
Peds,1819,col 5,Training and Education Costs," Description, ",10
Peds,1819,col 6,Unused Funds," Description, ",150100.94
IM,1819,col 1,"Salaries, Benefits and Wages for Residents"," Salaries, Benefits for Residents ",29949.38
IM,1819,col 2,Unused Funds," Salaries, Benefits for Residents ",38839.49
FM,1819,col 1,"Salaries, Benefits and Wages for Residents"," Salaries, Benefits for Residents ",31260.53
FM,1819,col 2,Unused Funds," Salaries, Benefits for Residents ",37736.75
EM,1819,col 1,"Salaries, Benefits and Wages for Residents", Salary ,65196
EM,1819,col 2,"Salaries, Benefits and Wages for Residents", Resident Benefits for two residents ,23007.36
EM,1819,col 3,Training and Education Costs, Education Stipend for 2 residents ($500/resident) ,1000
EM,1819,col 4,Meals, Meal Credit for two residents ,888
EM,1819,col 5,"Salaries, Benefits and Wages for Residents", Housing stipend for two residents ($8000/resident) ,8000
EM,1819,col 6,Non-Medical Benefits, Resident Scrub Uniforms ,267.39
EM,1819,col 7,Non-Medical Benefits, Resident Jacket Uniforms ,910.44
EM,1819,col 8,Information Technology (IT) Systems, Qgenda Shift Scheduling Software to schedule Residents ,8256
EM,1819,col 9,Unused Funds, Unused funds have had receipts sent - not hit ledger yet ,89634.23
EM,1819,col 1,"Salaries, Benefits and Wages for Residents", Salary and Benefits for 2.5 Resident FTE ,83977.76
EM,1819,col 2,Insurance, Insurance for Residents ,21248.31
EM,1819,col 3,Information Technology (IT) Systems, UCSF Network Recharge for Residents ,168.78
EM,1819,col 4,Insurance, UCSF General Liability Insurance for Residents ,688.73
EM,1819,col 5,Insurance, Malpractice Insurance for Residents ,11993.75
EM,1819,col 6,Unused Funds, Funds will be used for Resident Salary and Benefits ,45902.39
IM,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,32526
IM,1819,col 2,Insurance, Insurance for Residents ,9582.54
IM,1819,col 3,Insurance, Malpractice charge for Residents ,4006.27
OBGYN,1819,col 1,"Salaries, Benefits and Wages for Residents"," Description, ",88305.06
OBGYN,1819,col 2,Insurance," Description, ",4281
OBGYN,1819,col 3,Information Technology (IT) Systems, UCSF Network Recharge for Residents ,176.63
OBGYN,1819,col 4,Insurance, GAEL insurance for Residents ,723.78
OBGYN,1819,col 5,Insurance, Malpractice Insurance for Residents ,10394.58
OBGYN,1819,col 6,"Salaries, Benefits and Wages for Faculty", Faculty time for Dr. Emeney ,79999.98
OBGYN,1819,col 7,"Memberships, Subscriptions and Professional Activity Costs"," Presentation Poster Printing Fees- Fees related to faculty and resident membership/subscriptions fees. Includes ABOG, SMFM, ASCCP, AIUM. AAGL and ACOG ",4755.37
OBGYN,1819,col 8,Licensing Fees, Faculty DEA License ,888
OBGYN,1819,col 9,Meals, Intern orientation with Chief Resident ,145.5
OBGYN,1819,col 10,Training and Education Costs, Challenger- Additional slots purchased for extra resident and faculty- used for remediation and Self Directed Learning ,200
OBGYN,1819,col 11,Unused Funds," Unused funds will be utilized to support faculty, residents and program expenses ",190858.86
Peds,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,50450.09
Peds,1819,col 2,Insurance, Insurance for Residents ,9748.24
Peds,1819,col 3,Information Technology (IT) Systems, UCSF Network Recharge for Residents ,442.53
Peds,1819,col 4,Insurance, UCSF General Liability for Residents ,808.85
Peds,1819,col 5,"Salaries, Benefits and Wages for Other GME Staff", UCSF GME Pediatric Staff ,69528.41
Peds,1819,col 6,Information Technology (IT) Systems, ORAM charge for GME Pediatric Staff ,612.48
Peds,1819,col 7,Insurance, Malpractice Charge for Residents ,14319.74
Peds,1819,col 8,Unused Funds, UCSF Faculty Time ,41589.66
OBGYN,1819,col 1,Insurance, Health and Liability Insurance ,2716
OBGYN,1819,col 2,Information Technology (IT) Systems, Data and Network Support ,35.34
OBGYN,1819,col 3,"Salaries, Benefits and Wages for Residents"," I. Wijangco, B. Peacock, B. Magaoay, S. Kemet ",20972.32
OBGYN,1819,col 4,Unused Funds," Description, ",30717.37
Peds,1819,col 1,"Salaries, Benefits and Wages for Residents", salaries and benefits for PLUS residents ,75000
OBGYN,1920,col 1,Medical Equipment, Handheld Ultrasounds ,3257.06
OBGYN,1920,col 2,Unused Funds, Breech Simulation Training ,2700
OBGYN,1920,col 3,Unused Funds, Learning Assessments ,7000
OBGYN,1920,col 4,Unused Funds, iPad and Accessories X2 ,2000
OBGYN,1920,col 5,"Memberships, Subscriptions and Professional Activity Costs", TruLearn Question Bank ,1057
OBGYN,1920,col 6,Unused Funds, Scrubs for Interns ,1000
OBGYN,1920,col 7,Unused Funds, Resident Retreat ,9000
OBGYN,1920,col 8,Unused Funds, APGO CREOG Meeting Attendance ,3985.94
FM,1920,col 1,"Salaries, Benefits and Wages for Other GME Staff", Staff Salaries &amp; Wages. Negative amount is due to payroll changes due to being over budget. ,-429.1
FM,1920,col 2,"Salaries, Benefits and Wages for Faculty", Faculty salaries &amp; Wages ,2326.32
FM,1920,col 3,Non-Medical Benefits," Non Med Benefits, Leave accruals ",753.65
FM,1920,col 4,Training and Education Costs, Supplies &amp; Materials ,1460
FM,1920,col 5,"Memberships, Subscriptions and Professional Activity Costs", Resident membership dues ,35
FM,1920,col 6,Insurance, UC System Liability Insurance ,14.45
FM,1920,col 7,Unused Funds, Unused Funds to be used in remaining months of the fiscal year. Payroll changes have been processed for this to be used. ,4210.48
IM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Salaries, Benefits for Residents ",38838
IM,1920,col 2,Unused Funds," Salaries, Benefits for Residents ",68641.93
FM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Salaries, Benefits for Residents ",20411.7
FM,1920,col 2,Unused Funds," Salaries, Benefits for Residents ",16841.04
EM,1920,col 1,"Salaries, Benefits and Wages for Residents", Salary for 1 resident ,33247.5
EM,1920,col 2,"Salaries, Benefits and Wages for Residents", Benefits for 1 resident ,9570.6
EM,1920,col 3,Training and Education Costs, Education Stipend ,500
EM,1920,col 4,Meals, Meal Credit ,396
EM,1920,col 5,Non-Medical Benefits, Housing Stipend ,4000
EM,1920,col 6,"Memberships, Subscriptions and Professional Activity Costs", SAEM ( Society of Academic Emergency Medicine) ,1815
EM,1920,col 7,"Memberships, Subscriptions and Professional Activity Costs", ACEP (Academic College of Emergency Physicians) Membership ,4620
EM,1920,col 8,"Memberships, Subscriptions and Professional Activity Costs", AAEM (American Academy of Emergency Physicians) Membership ,2400
EM,1920,col 9,"Memberships, Subscriptions and Professional Activity Costs", CORD (Council of Residency Directors) Membership ,1175
EM,1920,col 10,Unused Funds, Will use remaining funds next period ,2275.9
OBGYN,1920,col 1,"Salaries, Benefits and Wages for Faculty"," Program Director (6m, 25%) ",12500
OBGYN,1920,col 2,"Salaries, Benefits and Wages for Faculty"," Associate Program Director (6m, 8%) ",1000
OBGYN,1920,col 3,"Salaries, Benefits and Wages for Faculty"," Resident Research Director (6m, 8%) ",5750
OBGYN,1920,col 4,"Salaries, Benefits and Wages for Faculty"," Resident Simulation Director (6m, 8%) ",1000
OBGYN,1920,col 5,"Salaries, Benefits and Wages for Other GME Staff", Program Manager (3m ) ,2075
OBGYN,1920,col 6,"Salaries, Benefits and Wages for Other GME Staff", GME Program Manager (3m) ,3000
OBGYN,1920,col 7,"Memberships, Subscriptions and Professional Activity Costs"," SAGES, Fundamentals of Laparoscopic Surgery (2 residents) ",1050
OBGYN,1920,col 8,"Memberships, Subscriptions and Professional Activity Costs", True Learn (2 residents) ,445
OBGYN,1920,col 9,"Memberships, Subscriptions and Professional Activity Costs", APGO dues Program Director ,250
OBGYN,1920,col 10,Faculty Development, CREOG Summer Retreat PD ,275
OBGYN,1920,col 11,Meals, 8% of 6 months of resident lunches for didactics ,398
OBGYN,1920,col 12,Contractual Consultant Costs," Consultation and creation of Residency Program Commitment to Equity, Diversity and Inclusion (recruitment video) ",4550
OBGYN,1920,col 13,Information Technology (IT) Systems," Network, paging and computer support (6m, NGN 485, HS-TSC 563) ",1048
OBGYN,1920,col 14,"Salaries, Benefits and Wages for Residents", Resident partial salary and benefits ,21659
OBGYN,1920,col 15,Unused Funds," I could not select an appropriate drop-down option to report this issue. We have used the $110,000 and submitted line items on the past two progress reports. I have a report that states the sponsor report was delivered. This should be a zero balance. I just sent a follow-up email. ",110000
EM,1920,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,108422.56
EM,1920,col 2,Insurance, Insurance for Residents ,26577.44
FM,1920,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,3282.62
FM,1920,col 2,"Salaries, Benefits and Wages for Faculty", Faculty Time ,24480
FM,1920,col 3,Insurance, Malpractice charge for Residents ,933.59
FM,1920,col 4,Information Technology (IT) Systems, UCSF Network Recharge for Residents ,6.57
FM,1920,col 5,Insurance, UCSF General Liability Insurance ,26.91
FM,1920,col 6,Unused Funds," Description, ",18474.21
OBGYN,1920,col 1,Contractual Consultant Costs, Amber Shaver- statistician services ,224
OBGYN,1920,col 2,"Salaries, Benefits and Wages for Other GME Staff", Research Coordinator who ensures residents and faculty are meeting accreditation and program standards related to scholarly activity ,23229.98
OBGYN,1920,col 3,Information Technology (IT) Systems, UCSF Network Recharge for Staff ,128.15
OBGYN,1920,col 4,Insurance, GAEL Insurance for Staff ,130
OBGYN,1920,col 5,Training and Education Costs," Books, ACOG Program Membership and Challenger annual subscription for remediation and self directed learning ",7779.28
OBGYN,1920,col 6,Medical Equipment, Simulation equipment ,54958.83
OBGYN,1920,col 7,Meals, OBGYN Resident Retreat ,269.51
OBGYN,1920,col 8,"Salaries, Benefits and Wages for Faculty", Faculty time for Dr. El Deeb ,14742.69
OBGYN,1920,col 9,Licensing Fees, Step 3 Exam ,2675
OBGYN,1920,col 10,Non-Medical Benefits, UiM Scholarships ,862.56
Peds,1920,col 1,"Memberships, Subscriptions and Professional Activity Costs", Membership for American Academy of Pediatrics ,3640
Peds,1920,col 2,"Salaries, Benefits and Wages for Faculty", UCSF Faculty Time ,100433.4
Peds,1920,col 3,Unused Funds, UCSF Faculty Time ,145926.6
OBGYN,1920,col 1,Insurance, Health and Liability Insurance ,1426.06
OBGYN,1920,col 2,"Salaries, Benefits and Wages for Residents", J. Kokroko ,400.32
OBGYN,1920,col 3,Unused Funds," Description, ",225763.85
Peds,1920,col 1,"Salaries, Benefits and Wages for Residents", salaries and benefits for PLUS residents ,130000
EM,1920,col 1,"Salaries, Benefits and Wages for Residents"," Salary, benefits, and insurance expenses for residents that were incurred between July - December 2021 ",30000
FM,2021,col 1,Unused Funds, resident Dragon software licensing ,12500
IM,2021,col 1,"Salaries, Benefits and Wages for Faculty", faculty salary and benefits ,9580
IM,2021,col 2,Unused Funds," Description, ",2920
FM,2021,col 1,"Salaries, Benefits and Wages for Faculty"," Salaries, Benefits for Faculty ",2183.74
FM,2021,col 2,"Salaries, Benefits and Wages for Residents"," Salaries, Benefits for Residents ",22700.19
FM,2021,col 3,"Salaries, Benefits and Wages for Faculty"," Salaries, Benefits for Faculty ",116.07
FM,2021,col 1,Unused Funds," Annual all-resident and core faculty 2-day retreat to discuss program curriculum, action plan for upcoming year and bond with faculty and new residents. This provided ample opportunity for residents to work in teams and build relationships needed when working in clinics and rotations. Since we were awarded funds late into the budget period our expenses hit the ledger after this reporting period. Details of expenses and ledgers can be reflected on the next report. ",13834
FM,2021,col 2,Unused Funds," Salary support for residency program director, Dr. Denise Sur ",1566
FM,2021,col 3,Unused Funds, Anticipated expenses for upcoming faculty development courses for core faculty ,3000
FM,2021,col 4,Unused Funds, STFM Residency Curriculum Resource Fee ,1800
FM,2021,col 5,Unused Funds, NEJM Family medicine Resident Board Review Subscription for 12 residents ,4800
Peds,2021,col 1,"Salaries, Benefits and Wages for Residents"," Description, ",50000
EM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Salary for 1 resident (6 mos= $32,181): ",25000
EM,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,12500
FM,2021,col 1,"Memberships, Subscriptions and Professional Activity Costs", Association of Family Medicine ,2585
FM,2021,col 2,Unused Funds," Description, ",22415
IM,2021,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,12500
OBGYN,2021,col 1,"Salaries, Benefits and Wages for Faculty", Faculty time for Dr. Downer &amp; Dr. Agrawal ,62500
Peds,2021,col 1,"Salaries, Benefits and Wages for Faculty", Faculty Time ,40659
Peds,2021,col 2,"Salaries, Benefits and Wages for Residents", Resident Salaries and Benefits ,21841
OBGYN,2021,col 1,Unused Funds," Description, ",25000
Peds,2021,col 1,"Salaries, Benefits and Wages for Residents", salaries and benefits for PLUS residents ,37500
EM,2021,col 1,"Salaries, Benefits and Wages for Residents"," Salary, benefits, and insurance expenses for residents that were incurred between July - December 2021 ",30000
OBGYN,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,16250
OBGYN,1819,col 2,Contractual Consultant Costs, REI Teaching Stipend Resident Offsite Clinic -1 resident ,4000
OBGYN,1819,col 3,Contractual Consultant Costs, REI Teaching Stipend Resident Offsite Clinic -1 resident ,4000
OBGYN,1819,col 4,Contractual Consultant Costs, REI Teaching Stipend Resident Offsite Clinic -1 resident ,4000
OBGYN,1819,col 5,Contractual Consultant Costs, Gynecology Oncology Education clinic April 2021 ,500
OBGYN,1819,col 6,Contractual Consultant Costs, Gynecology Oncology Education clinic June 2021 ,500
OBGYN,1819,col 7,Contractual Consultant Costs, Gynecology Oncology Education clinic March 2021 ,500
OBGYN,1819,col 8,Contractual Consultant Costs, Gynecology Oncology Education clinic November 2021 ,500
OBGYN,1819,col 9,Contractual Consultant Costs, Gynecology Oncology Education clinic May 2021 ,500
OBGYN,1819,col 10,Training and Education Costs, Textbooks - Williams Gynecology ,2481.08
OBGYN,1819,col 11,Training and Education Costs, Textbooks - Atlas of Pelvic Anatomy ,2941.54
OBGYN,1819,col 12,Training and Education Costs, Textbooks - Urogynecology and Reconstructive Pelvic Surgery and Clinical Gynecological Endrocrinology and Infertility ,2183.36
OBGYN,1819,col 13,Training and Education Costs, Textbooks - Te Linde's operative Gynecology ,472.12
OBGYN,1819,col 14,Training and Education Costs, Textbooks - Diagnostic Imaging Gynecology ,2908
OBGYN,1819,col 15,Training and Education Costs, Textbooks - Diagnostic Imaging Gynecology ,872.4
OBGYN,1819,col 16,Training and Education Costs, Textbook - Urogynecology and Reconstructive Pelvic Surgery ,2715.16
OBGYN,1819,col 17,Training and Education Costs, Textbooks - Clinical Gynecologic Oncology ,2036.44
OBGYN,1819,col 18,Training and Education Costs, Textbooks - Gynecology Oncology Pocketbook ,2434.84
OBGYN,1819,col 19,Contractual Consultant Costs, REI Teaching Stipend Resident Offsite Clinic -1 resident ,4000
OBGYN,1819,col 20,Contractual Consultant Costs, REI Teaching Stipend Resident Offsite Clinic -1 resident ,4000
OBGYN,1819,col 21,Contractual Consultant Costs, REI Teaching Stipend Resident Offsite Clinic -1 resident ,4000
OBGYN,1819,col 22,Contractual Consultant Costs, Gynecology Oncology Education clinic September 2021 ,1000
OBGYN,1819,col 23,Training and Education Costs, Textbooks Williams Gynecology ,2359.7
OBGYN,1819,col 24,Training and Education Costs, Textbooks Williams Obstetrics ,2208.8
OBGYN,1819,col 25,Contractual Consultant Costs, Gynecology Oncology Education clinic September 2021 ,500
OBGYN,1819,col 26,Training and Education Costs, Sages - FLS - 1 resident ,525
OBGYN,1819,col 27,Contractual Consultant Costs, REI Teaching Consulting ,500
OBGYN,1819,col 28,Contractual Consultant Costs, Well-Being Lecture July ,450
OBGYN,1819,col 29,Contractual Consultant Costs, Well-Being Lecture October ,450
OBGYN,1819,col 30,Training and Education Costs, Board Prep Package - 1 Resident ,1395
OBGYN,1819,col 31,Training and Education Costs, Board Prep Package - 1 Resident ,1395
OBGYN,1819,col 32,Contractual Consultant Costs, REI Teaching Consulting ,750
OBGYN,1819,col 33,Contractual Consultant Costs, Gynecology Oncology Education clinic December 2021 ,500
OBGYN,1819,col 34,Training and Education Costs, Textbooks Williams Obstetrics ,2579.36
OBGYN,1819,col 35,Unused Funds, Unspent Funds ,312409.96
FM,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,29167
FM,1819,col 2,Medical Equipment, Butterfly IQ Bedside Ultrasound Equipment for Resident Education ,21808.6
FM,1819,col 3,Information Technology (IT) Systems, Butterfly software/security license ,9000
FM,1819,col 4,Training and Education Costs, Comlex Level 3 - 1 resident ,890
FM,1819,col 5,"Memberships, Subscriptions and Professional Activity Costs", American Medical Society of Sports Medicine Membership - 1 Resident ,150
FM,1819,col 6,"Memberships, Subscriptions and Professional Activity Costs", American College of sports Medicine Membership - 1 Resident ,155
FM,1819,col 7,Training and Education Costs, MedMatery Subscription for Ultrasound Teaching - 1 Faculty ,348
FM,1819,col 8,"Memberships, Subscriptions and Professional Activity Costs", Academy of Family Medicine Program Directors - PD ,395
FM,1819,col 9,Training and Education Costs, Uworld Step 3 Qbank - 16 residents ,7504
FM,1819,col 10,Meals, Snacks for Didactic Lectures ,449.86
FM,1819,col 11,"Memberships, Subscriptions and Professional Activity Costs", California Academy of Family Practice CRN memberships - 48 residents ,1680
FM,1819,col 12,Training and Education Costs, Comquest Question Bank - 6 Residents ,2154.6
FM,1819,col 13,Training and Education Costs, Certification Combo Class - 4 Residents ,1000
FM,1819,col 14,Training and Education Costs, Comlex Level 3 - 1 resident ,895
FM,1819,col 15,Licensing Fees, ABFM Board Exam Fee - 1 resident ,1300
FM,1819,col 16,Meals, Lunch for didactic lecture ,583.06
FM,1819,col 17,Non-Medical Benefits, Wellness retreat - 16 residents ,1719.87
FM,1819,col 18,"Memberships, Subscriptions and Professional Activity Costs", American Academy of Family Physicians Membershi9 - 32 residents ,1280
FM,1819,col 19,Unused Funds, Unspent Funds ,11186.01
EM,1819,col 1,"Salaries, Benefits and Wages for Residents", Resident Salaries ,93750
EM,1819,col 2,Faculty Development, Faculty Development Outside Consultant ,13875
